date,title,link,desc
21.03.2016,Osmaniye'de arda arda 3 patlama,http://www.radikal.com.tr/turkiye/osmaniyede-arda-arda-3-patlama-1534041,"Osmaniye'de akşam saatlerinde askeri eğitim alanı, sokak ve bir evin bahçesine 3 patlama meydana geldi. Patlamaların, Amanos Dağları'ndan atılan havan ya da roket mermilerinin neden olduğu belirtildi."
21.03.2016,Sağlık Bakanlığı'ndan Ankara saldırısı açıklaması: 18 yaralının tedavisi sürüyor,http://www.radikal.com.tr/turkiye/saglik-bakanligindan-ankara-saldirisi-aciklamasi-18-yaralinin-tedavisi-suruyor-1534034,"Sağlık Bakanlığı, Ankara Kızılay'da 13 Mart Pazar günü gerçekleştirilen canlı bomba saldırısında yaralananların son durumuna ilişkin açıklama yaptı."
21.03.2016,İzmir'de kritik operasyon,http://www.radikal.com.tr/turkiye/izmirde-kritik-operasyon-1534022,İzmir'de MLKP adlı örgüt üyelerine ait bir evde 400 gram plastik patlayıcı bulunduğu açıklandı.
21.03.2016,Canlı bombanın kardeşleri sorgulanıyor,http://www.radikal.com.tr/turkiye/canli-bombanin-kardesleri-sorgulaniyor-1534018,"İstanbul İstiklal Caddesi'nde, 4 kişinin yaşamını yitirdiği, 39 kişinin yaralandığı intihar saldırısını gerçekleştiren ve patlamada parçalanarak ölen 'canlı bomba' Mehmet Öztürk'ün kendisi gibi IŞİD'e yakın olduğu belirtilen kardeşleri de sorgulanıyor. Polis, canlı bomba gibi IŞİD üyesi olduğu öne sürülen kardeşleri 22 yaşındaki Gökhan ve 18 yaşından küçük Y.Ö.'nün sorgulaması doğrultusunda örgütün kentteki hücre yapılanmasını çözmeye çalışıyor."
21.03.2016,Aydın'da yangın iki can aldı,http://www.radikal.com.tr/turkiye/aydinda-yangin-iki-can-aldi-1534008,"Bozdoğan'da bir evde çıkan yangın nedeniyle, çöken çatının altında kalan çift hayatını kaybetti"
21.03.2016,Prof. Arı'dan tartışma yaratacak sözler: En tehlikeli olanlar üniversite mezunlarıdır,http://www.radikal.com.tr/turkiye/prof-aridan-tartisma-yaratacak-sozler-en-tehlikeli-olanlar-universite-mezunlar-1534009,"Sebahattin Zaim Üniversitesi Rektör Yardımcısı Prof. Dr. Bülent Arı'dan tartışma yaratacak sözler... ""Türkiye'nin en tehlikeli kesiminin okumuş kesim olduğunu, cahil, okumamış halka daha çok güvendiğini"" söyleyen Prof. Arı ""Üzeri örtülü görünmeyen bir savaş halindeyiz, bunu kabul edelim"" dedi. Arı ayrıca, ""Erdoğan giderse tam bir felaketle karşı karşıya kalırız"" diye konuştu."
21.03.2016,Kardeş katiline müebbet,http://www.radikal.com.tr/turkiye/kardes-katiline-muebbet-1533950,Adana'da 31 yaşındaki Sabri Uzun hakkında evli olan kız kardeşi 31 yaşındaki Yıldız Tongul ile sevgilisi 32 yaşındaki Murat Uygun'u öldürdüğü gerekçesiyle 2 kez müebbet hapis cezası istemiyle dava açıldı.
21.03.2016,Başbakan Davutoğlu'ndan Nevruz mesajı,http://www.radikal.com.tr/turkiye/basbakan-davutoglundan-nevruz-mesaji-1533947,"Başbakan Ahmet Davutoğlu, 21 Mart Dünya Nevruz Günü dolayısıyla yayımladığı mesajda Nevruz'un barış ve kardeşliği pekiştiren bir simge olması gerektiğini belirterek ""Baharın gelişini ve toprağın uyanışını şiddet ve nefretin gerekçesi kılanlara inat bu güzel günde milletçe sevginin, barışın, kardeşliğin evrensel dilini yüceltmeli, her tür şiddet ve terörün karşısında olduğumuzu göstermeliyiz"" dedi.
"
21.03.2016,Nusaybin'de şehit olan 2 askerin ateşi de Hatay'ı yaktı,http://www.radikal.com.tr/turkiye/nusaybinde-sehit-olan-2-askerin-atesi-de-hatayi-yakti-1533929,"Mardin'in Nusaybin İlçesi'nde PKK'lılar tarafından şehit edilen 5 güvenlik görevlisinden Jandarma Uzman Çavuş Hidayet Atmış ile Jandarma Astsubay Halit Halal'ın Hatay'daki baba evlerine ateş düştü. Atmış ve Halal ile birlikte, son 3 günde Nusaybin'de şehit olan Hataylı sayısı 4'e yükseldi."
21.03.2016,Van-Bahçesaray karayoluna çığ düştü,http://www.radikal.com.tr/turkiye/van-bahcesaray-karayoluna-cig-dustu-1533927,"Van Bahçesaray karayolu çığ düşmesi nedeniyle ulaşıma kapandı. Kapanan yolda mahsur kalan araçlar, tipiye rağmen Karayolları ekiplerinin 4 saat süren çalışması sonucu kurtarıldı."
21.03.2016,Cumhurbaşkanı konvoyuna kedi sürprizi,http://www.radikal.com.tr/turkiye/cumhurbaskani-konvoyuna-kedi-surprizi-1533907,"Cumhurbaşkanı Recep Tayyip Erdoğan'ın konvoyu Yıldız'daki Mabeyn Köşkü'ne girerken yola aniden bir kedi çıktı. Koruma araçları kediyi fark edince yavaşladı. Kedi, yolun karşısına geçtikten sonra, konvoy yoluna devam etti."
21.03.2016,Emniyet otoparkında bombalı araç paniği,http://www.radikal.com.tr/turkiye/emniyet-otoparkinda-bombali-arac-panigi-1533906,Polisi alarma geçiren ihbarın ardından şüpheli otomobil Kağıthane Emniyet Müdürlüğü'nün otoparkında ortaya çıktı. Bomba imha uzmanlarının incelemesi sonucunda olumsuz bir duruma rastlanmadı.
21.03.2016,İlkokul öğretmeni tacizden tutuklandı,http://www.radikal.com.tr/turkiye/ilkokul-ogretmeni-tacizden-tutuklandi-1533873,Osmaniye'nin Bahçe İlçesi'nde ilkokul 4'üncü sınıf öğrencisi 6 kıza cinsel tacizde bulunduğu iddia edilen sınıf öğretmeni 53 yaşındaki Barış Ö. tutuklandı.
21.03.2016,Taksim'i kana bulayan canlı bombanın cenazesi defnedildi,http://www.radikal.com.tr/turkiye/taksimi-kana-bulayan-canli-bombanin-cenazesi-defnedildi-1533874,"İstiklal Caddesi'nde 4 kişinin ölümü 39 kişinin yaralanmasına neden olan canlı bomba Mehmet Öztürk'ün cenazesi, köylüler kabul etmeyince  belediye mezarlığa defnedildi."
21.03.2016,Ankara saldırısında yaralanan Feyyaz Aydın hayatını kaybetti,http://www.radikal.com.tr/turkiye/ankara-saldirisinda-yaralanan-feyyaz-aydin-hayatini-kaybetti-1533813,Ankara'daki bombalı saldırıda yaralanan Feyyaz Aydın'dan acı haber geldi. Aydın tedavi gördüğü hastanede bugün yaşamını yitirdi.
